Feature Set,Num Features,Classifier,CV Accuracy,CV Std
Stats-Guided (6),6,SVM (RBF),0.8359139784946237,0.026959886355638434
HR Only,8,SVM (RBF),0.8225806451612904,0.013169299692382721
Stats-Guided (6),6,Logistic Regression,0.8159139784946238,0.014416624311479049
HR Only,8,Logistic Regression,0.809462365591398,0.022280649286760306
All Available,23,SVM (RBF),0.8034408602150538,0.05555467683430397
Stats-Guided (6),6,Random Forest,0.7965591397849462,0.04104316709878641
All Available,23,Random Forest,0.7638709677419355,0.10505899107628063
Stats-Guided (6),6,Gradient Boosting,0.7634408602150538,0.05148281095916521
HR Only,8,Random Forest,0.7576344086021506,0.07279053681606626
All Available,23,Logistic Regression,0.7443010752688173,0.08939203190581736
All Available,23,Gradient Boosting,0.7440860215053764,0.07964251263286543
HR Only,8,Gradient Boosting,0.7243010752688173,0.06170431770506663
