Feature Set,Num Features,Classifier,CV Accuracy,CV Std
All Available,23,SVM (RBF),0.6313978494623657,0.05794252417888438
Stats-Guided (6),6,SVM (RBF),0.6105376344086022,0.09207817637954874
Stats-Guided (6),6,Logistic Regression,0.5913978494623656,0.06533884040300875
HR Only,8,SVM (RBF),0.5845161290322581,0.08931491156655749
HR Only,8,Logistic Regression,0.5782795698924731,0.09050774670783047
All Available,23,Random Forest,0.5526881720430108,0.052904974182141774
HR Only,8,Random Forest,0.5449462365591398,0.0847824745141242
HR Only,8,Gradient Boosting,0.5391397849462366,0.07120066046167838
Stats-Guided (6),6,Random Forest,0.5249462365591399,0.0935506117644264
All Available,23,Gradient Boosting,0.49935483870967745,0.04963317864337672
Stats-Guided (6),6,Gradient Boosting,0.48580645161290326,0.10005987339279943
All Available,23,Logistic Regression,0.4806451612903226,0.063282104991198
