Feature Set,Num Features,Regressor,CV RMSE,CV RMSE Std,CV R²,CV R² Std
HR Only,8,Lasso,1.9763564084299141,0.971785280169169,-0.34760305743328546,0.5539758377598194
HR Only,8,Ridge,2.0309454824338546,1.0189405489413303,-0.437977379058515,0.6413450148506112
HR Only,8,Linear Regression,2.0459718465767103,1.0656729708731878,-0.4555881559249656,0.6516585729850206
HR Only,8,SVR (RBF),2.0518398601224774,1.1418074649737133,-0.5184383491823334,0.8914089487637555
HR Only,8,Random Forest,2.0696124825572997,1.2704641846750662,-0.5774248203564579,1.0691635590295174
Stats-Guided (6),6,Lasso,2.1151199330112265,1.1097377596350637,-0.489058475112836,0.4636264647643654
All Available,23,SVR (RBF),2.1249801477502133,1.1221407032195345,-0.5188682157993102,0.5340789039406719
Stats-Guided (6),6,Ridge,2.1975124781729227,1.2196403481461597,-0.586704051199541,0.4610346015993098
Stats-Guided (6),6,Linear Regression,2.199540395973254,1.2215902815660111,-0.5896105731896267,0.4625134039244217
All Available,23,Lasso,2.2053000829589124,1.2606638743950698,-0.6010875642069904,0.5055005158990332
All Available,23,Random Forest,2.210344407066343,1.0847472229381954,-0.6256124635595823,0.44799834755701595
HR Only,8,Gradient Boosting,2.245503895400951,1.3901231480876806,-0.895336076310097,1.3845464833278431
Stats-Guided (6),6,SVR (RBF),2.299111964910697,1.3525277675086593,-0.7222410070578806,0.5080176308310497
All Available,23,Gradient Boosting,2.3744698568817966,1.2831021835287786,-0.9089263060358885,0.7674660863443685
All Available,23,Ridge,2.4069956049117214,1.4465943988625154,-0.9423663324008149,0.8147399612547606
Stats-Guided (6),6,Random Forest,2.4528037807979617,1.518851388352955,-1.0090777060044789,0.7831361684095434
All Available,23,Linear Regression,2.579690463286479,1.47154946403031,-1.2207065285807461,0.8630452376551259
Stats-Guided (6),6,Gradient Boosting,2.6699776383108245,1.6912075323979452,-1.3342080200476345,0.8001324753403922
